Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Product Type,Division,Unit
Austria,5 662,7 206,7 474,7 421,7 953,7 876,7687,7 438,8 135,6 885,Crude Steel,European Union (28),thousand metric tons
Belgium,5 635,7 973,8 026,7 301,7 127,7 331,7257,7 687,7 842,7 980,Crude Steel,European Union (28),thousand metric tons
Bulgaria,726,737,835,633,523,612,543,527,652,666,Crude Steel,European Union (28),thousand metric tons
Croatia,43,95,96,1,135,167,122,0,0,136,Crude Steel,European Union (28),thousand metric tons
Czech Republic,4 594,5 180,5 583,5 072,5 171,5 360,5262,5 305,4 550,4 938,Crude Steel,European Union (28),thousand metric tons
Germany,32 670,43 830,44 284,42 661,42 645,42 943,42676,42 080,43 297,42 435,Crude Steel,European Union (28),thousand metric tons
Finland,3 066,4 029,3 989,3 759,3 517,3 807,3988,4 101,4 003,4 146,Crude Steel,European Union (28),thousand metric tons
France,12 840,15 414,15 780,15 609,15 685,16 143,14 984,14 413,15 505,15 387,Crude Steel,European Union (28),thousand metric tons
Greece,2 000,1 821,1 934,1 247,1 030,1 022,910,1 158,1 359,1 467,Crude Steel,European Union (28),thousand metric tons
Hungary,1 403,1 678,1 746,1 542,883,1 152,1 675,1 274,1 901,1 989,Crude Steel,European Union (28),thousand metric tons
Italy,19 848,25 750,28 735,27 252,24 093,23 714,22 018,23 373,24 068,24 532,Crude Steel,European Union (28),thousand metric tons
Latvia,692,655,568,805,198,,,,,,Crude Steel,European Union (28),thousand metric tons
Luxembourg,2 141,2 548,2 521,2 208,2 090,2 193,2 127,2 175,2 172,2 228,Crude Steel,European Union (28),thousand metric tons
Netherlands,5 194,6 651,6 937,6 879,6 713,6 964,6 995,6 917,6 781,6 813,Crude Steel,European Union (28),thousand metric tons
Poland,7 128,7 993,8 779,8 366,7 950,8 558,9 198,9 001,10 332,10 167,Crude Steel,European Union (28),thousand metric tons
Portugal,1 614,1 543,1 942,1 960,2 050,2 070,2 030,2 010,2 076,2 215,Crude Steel,European Union (28),thousand metric tons
Romania,2 761,3 721,3 828,3 292,2 985,3 158,3 352,3 276,3 361,3 550,Crude Steel,European Union (28),thousand metric tons
Slovak Republic,3 747,4 583,4 236,4 403,4 511,4 705,4 562,4 808,4 974,5 225,Crude Steel,European Union (28),thousand metric tons
Slovenia,430,606,648,632,618,615,604,613,648,654,Crude Steel,European Union (28),thousand metric tons
Spain,14 358,16 343,15 504,13 639,14 252,14 249,14 845,13 616,14 441,14 320,Crude Steel,European Union (28),thousand metric tons
Sweden,2 804,4 846,4 867,4 326,4 404,4 539,4 557,4 817,4 926,4 654,Crude Steel,European Union (28),thousand metric tons
United Kingdom,10 074,9 708,9 478,9 579,11 858,12 033,10 907,7 635,7 491,7 268,Crude Steel,European Union (28),thousand metric tons
Albania (e),221,390,464,500,550,560,150,50,,,Crude Steel,Other Europe,thousand metric tons
Bosnia-Herzegovina,519,592,649,700,722,793,819,806,756,695,Crude Steel,Other Europe,thousand metric tons
Macedonia,270,292,386,217,100,188,121,169,273,266,Crude Steel,Other Europe,thousand metric tons
Montenegro (e),130,130,140,120,70,140,150,120,120,120,Crude Steel,Other Europe,thousand metric tons
Norway,595,530,610,700,605,600,590,620,603,575,Crude Steel,Other Europe,thousand metric tons
Serbia,1 061,1 254,1 324,346,396,583,955,1 173,1 477,1 973,Crude Steel,Other Europe,thousand metric tons
Switzerland,934,1 320,1 400,1 450,1 530,1 475,1 475,1 500,1 450,1 500,Crude Steel,Other Europe,thousand metric tons
Turkey,25 304,29 143,34 107,35 885,34 654,34 035,31 517,33 163,37 524,37 312,Crude Steel,Other Europe,thousand metric tons
Azerbaijan (e),120,120,120,120,173,180,180,180,180,200,Crude Steel,C.I.S.,thousand metric tons
Belarus,2 417,2 530,2 614,2 687,2 245,2 513,2 510,2 188,2 343,2 470,Crude Steel,C.I.S.,thousand metric tons
Kazakhstan,4 146,4 220,4 699,3 676,3 275,3 681,3 910,4 289,4 641,3 964,Crude Steel,C.I.S.,thousand metric tons
Moldova,426,240,313,335,190,351,443,126,469,497,Crude Steel,C.I.S.,thousand metric tons
Russia,60 011,66 942,68 852,70 209,69 008,71 461,70 898,70 453,71 491,72 042,Crude Steel,C.I.S.,thousand metric tons
Ukraine,29 855,33 432,35 332,32 975,32 771,27 170,22 968,24 218,21 417,21 100,Crude Steel,C.I.S.,thousand metric tons
Uzbekistan,716,716,733,736,746,723,643,654,654,646,Crude Steel,C.I.S.,thousand metric tons
Canada,9 292,13 009,12 891,13 507,12 417,12 730,12 473,12 646,13 208,13 443,Crude Steel,North America,thousand metric tons
Cuba,267,278,282,277,322,256,284,244,221,225,Crude Steel,North America,thousand metric tons
El Salvador,56,64,97,72,118,121,124,100,96,99,Crude Steel,North America,thousand metric tons
Guatemala,224,274,294,334,385,395,403,314,294,300,Crude Steel,North America,thousand metric tons
Mexico,14 132,16 870,18 110,18 073,18 242,18 930,18 218,18 824,19 955,20 204,Crude Steel,North America,thousand metric tons
Trinidad and Tobago,417,572,603,628,616,487,591,36,,,Crude Steel,North America,thousand metric tons
United States,59 384,80 495,86 398,88 695,86 878,88 174,78 845,78 475,81 612,86 607,Crude Steel,North America,thousand metric tons
Argentina,4 013,5 138,5 611,4 995,5 186,5 488,5 028,4 126,4 624,5 162,Crude Steel,South America,thousand metric tons
Brazil,26 506,32 948,35 220,34 524,34 163,33 897,33 258,31 642,34 778,35 407,Crude Steel,South America,thousand metric tons
Chile,1 308,1 011,1 615,1 671,1 323,1 079,1 112,1 153,1 158,1 145,Crude Steel,South America,thousand metric tons
Colombia,1 052,1 208,1 287,1 302,1 236,1 208,1 211,1 272,1 253,1 219,Crude Steel,South America,thousand metric tons
Ecuador,259,372,463,425,570,667,720,576,561,583,Crude Steel,South America,thousand metric tons
Paraguay,54,59,30,44,45,47,48,35,24,25,Crude Steel,South America,thousand metric tons
Peru,718,880,877,981,1 069,1 078,1 082,1 168,1 207,1 217,Crude Steel,South America,thousand metric tons
Uruguay,57,65,81,78,91,94,97,61,58,60,Crude Steel,South America,thousand metric tons
Venezuela,3 808,2 207,2 980,2 359,2 139,1 485,1 345,553,444,129,Crude Steel,South America,thousand metric tons
Algeria,597,662,551,557,417,415,650,650,415,2 000,Crude Steel,Africa,thousand metric tons
D.R. Congo (e),30,30,30,30,30,30,30,30,30,30,Crude Steel,Africa,thousand metric tons
Egypt,5 541,6 676,6 485,6 627,6 754,6 485,5 506,5 036,6 870,7 807,Crude Steel,Africa,thousand metric tons
Ghana (e),25,25,25,25,25,25,25,25,25,25,Crude Steel,Africa,thousand metric tons
Kenya (e),20,20,20,20,20,20,20,20,20,20,Crude Steel,Africa,thousand metric tons
Libya,914,825,100,315,712,712,352,492,422,396,Crude Steel,Africa,thousand metric tons
Mauritania (e),5,5,5,5,5,5,5,5,5,5,Crude Steel,Africa,thousand metric tons
Morocco,499,485,654,539,558,501,516,520,550,600,Crude Steel,Africa,thousand metric tons
Nigeria (e),100,100,100,100,100,100,100,100,100,100,Crude Steel,Africa,thousand metric tons
South Africa,7 484,7 617,7 546,6 938,7 162,6 412,6 417,6 141,6 301,6 327,Crude Steel,Africa,thousand metric tons
Tunisia,155,150,150,150,150,150,50,50,50,50,Crude Steel,Africa,thousand metric tons
Uganda (e),30,30,30,30,30,30,30,30,30,30,Crude Steel,Africa,thousand metric tons
Iran,10 908,11 995,13 197,14 463,15 422,16 331,16 146,17 895,21 236,24 520,Crude Steel,Middle East,thousand metric tons
Israel (e),300,300,300,300,300,300,300,300,300,300,Crude Steel,Middle East,thousand metric tons
Jordan (e),150,150,150,150,150,150,150,150,150,150,Crude Steel,Middle East,thousand metric tons
Oman (e),,,200,300,500,1 500,2 000,2 000,2 000,2 000,Crude Steel,Middle East,thousand metric tons
Qatar,1 448,1 970,2 038,2 145,2 236,3 019,2 593,2 521,2 644,2 575,Crude Steel,Middle East,thousand metric tons
Saudi Arabia (1),4 690,5 015,5 275,5 203,5 471,6 291,5 229,5 461,4 831,5 240,Crude Steel,Middle East,thousand metric tons
Syria (e),70,70,70,10,10,5,5,5,5,5,Crude Steel,Middle East,thousand metric tons
United Arab Emirates,200,500,2 000,2 408,2 878,136,3 006,3 149,3 309,3 247,Crude Steel,Middle East,thousand metric tons
Bangladesh (e),70,78,85,87,84,90,100,100,100,100,Crude Steel,Asia,thousand metric tons
China,577 070,638 743,701 968,731 040,822 000,822 306,803 825,807 609,870 855,928 264,Crude Steel,Asia,thousand metric tons
India,63 527,68 976,73 471,77 264,81 299,87 292,89 026,95 477,101 455,109 272,Crude Steel,Asia,thousand metric tons
Indonesia,3 501,3 664,3 621,2 254,2 644,4 351,4 854,4 746,5 195,6 183,Crude Steel,Asia,thousand metric tons
Japan,87 534,109 599,107 601,107 232,110 595,110 666,105 134,104 775,104 661,104 319,Crude Steel,Asia,thousand metric tons
D.P.R. Korea (e),1 300,1 300,1 300,1 280,1 250,1 250,1 250,1 250,1 250,1 250,Crude Steel,Asia,thousand metric tons
South Korea,48 572,58 914,68 519,69 073,66 061,71 543,69 670,68 576,71 030,72 464,Crude Steel,Asia,thousand metric tons
Malaysia,5 354,5 694,5 941,5 612,4 693,4 316,3 784,2 764,3 215,4 108,Crude Steel,Asia,thousand metric tons
