Country,OBC thousand tonnes,EF thousand tonnes,OHF thousand tonnes,Other thousand tonnes,Total thousand tonnes,OBC % total production,EF % total production,OHF % total production,Other % total production,% total production,Division,Year
Argentina,2 296,2 328,,,4 624,49.6,50.4,,,100,South America,2017
Brazil,26 794,7 495,,488,34 778,77,21.6,,1.4,100,South America,2017
Chile,794,364,,,1 158,68.6,31.4,,,100,South America,2017
Colombia,220,1 035,,,1 255,17.5,82.5,,,100,South America,2017
Ecuador,,561,,,561,,100,,,100,South America,2017
Paraguay,24,,,,24,100,,,,100,South America,2017
Peru,,1 207,,,1 207,,100,,,100,South America,2017
Uruguay,,58,,,58,,100,,,100,South America,2017
Venezuela,,444,,,444,,100,,,100,South America,2017
,,,,,,,,,,,,
Algeria (e),415,,,,415,100,,,,100,Africa,2017
D.R. Congo (e),,30,,,30,,100,,,100,Africa,2017
Egypt (e),570,6 300,,,6 870,8.3,91.7,,,100,Africa,2017
Ghana (e),,25,,,25,,100,,,100,Africa,2017
Kenya (e),,20,,,20,,100,,,100,Africa,2017
Libya,,422,,,422,,100,,,100,Africa,2017
Mauritania (e),,,,5,5,,,,100,100,Africa,2017
Morocco (e),,550,,,550,,100,,,100,Africa,2017
Nigeria (e),,100,,,100,,100,,,100,Africa,2017
South Africa,3 731,2 570,,,6 301,59.2,40.8,,,100,Africa,2017
Tunisia (e),,50,,,50,,100,,,100,Africa,2017
Uganda (e),,30,,,30,,100,,,100,Africa,2017
,,,,,,,,,,,,
Iran,2 235,19 000,,,21 235,10.5,89.5,,,100,Middle East,2017
Israel (e),,300,,,300,,100,,,100,Middle East,2017
Jordan (e),,150,,,150,,100,,,100,Middle East,2017
Oman (e),,2 000,,,2 000,,100,,,100,Middle East,2017
Qatar,,2 644,,,2 644,,100,,,100,Middle East,2017
Saudi Arabia (1),,4 831,,,4 831,,100,,,100,Middle East,2017
Syria (e),,5,,,5,,100,,,100,Middle East,2017
United Arab Emirates,,3 309,,,3 309,,100,,,100,Middle East,2017
,,,,,,,,,,,,
Bangladesh (e),,100,,,100,,100,,,100,Asia,2017
China (e),790 000,81 000,,85,871 085,90.7,9.3,,0,100,Asia,2017
