Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Austria,5 360,6 315,7 020,6 358,6 605,7 282,7 440,7 310,7 919,7 451,European Union (28),Export,Semi-finished and Finished Steel
Belgium,12 809,15 153,16 445,14 456,13 875,14 161,15 202,16 724,18 060,17 971,European Union (28),Export,Semi-finished and Finished Steel
Bulgaria,957,908,1 205,983,946,999,943,1 064,1 354,1 388,European Union (28),Export,Semi-finished and Finished Steel
Croatia,82,85,109,34,121,210,218,106,64,219,European Union (28),Export,Semi-finished and Finished Steel
Cyprus,0,0,0,1,1,1,1,0,4,0,European Union (28),Export,Semi-finished and Finished Steel
Czech Republic,3 877,4 651,4 855,4 642,4 751,4 736,4 830,5 192,4 785,5 068,European Union (28),Export,Semi-finished and Finished Steel
Denmark,680,857,976,798,797,790,935,946,984,1 052,European Union (28),Export,Semi-finished and Finished Steel
Estonia,120,204,274,194,107,114,104,109,138,151,European Union (28),Export,Semi-finished and Finished Steel
Germany,20 778,25 352,26 379,25 818,24 161,24 757,25 146,25 521,26 365,25 999,European Union (28),Export,Semi-finished and Finished Steel
Finland,1 397,2 490,2 861,1 820,1 617,1 840,1 902,1 948,2 018,2 194,European Union (28),Export,Semi-finished and Finished Steel
France,11 999,14 141,14 224,14 579,14 164,14 944,14 003,13 689,14 782,14 415,European Union (28),Export,Semi-finished and Finished Steel
Greece,1 035,1 170,1 742,1 215,973,920,997,990,1 292,1 631,European Union (28),Export,Semi-finished and Finished Steel
Hungary,1 090,1 316,1 470,1 698,1 766,1 607,1 440,1 404,1 892,2 086,European Union (28),Export,Semi-finished and Finished Steel
Ireland,34,37,44,50,47,65,93,121,91,100,European Union (28),Export,Semi-finished and Finished Steel
Italy,12 750,15 316,17 125,17 926,16 640,17 328,16 475,17 895,18 190,18 180,European Union (28),Export,Semi-finished and Finished Steel
Latvia,865,894,833,1 151,622,399,576,486,458,487,European Union (28),Export,Semi-finished and Finished Steel
Lithuania,178,205,253,284,258,269,330,380,386,400,European Union (28),Export,Semi-finished and Finished Steel
Luxembourg,2 471,3 059,3 442,2 869,2 731,3 003,2 908,2 920,2 920,3 027,European Union (28),Export,Semi-finished and Finished Steel
Malta,0,0,0,0,0,1,1,1,7,0,European Union (28),Export,Semi-finished and Finished Steel
Netherlands,7 707,9 271,10 441,9 734,8 761,9 715,10 630,10 214,10 916,11 029,European Union (28),Export,Semi-finished and Finished Steel
Poland,4 188,4 240,4 907,5 392,4 895,5 024,5 084,5 396,6 190,6 017,European Union (28),Export,Semi-finished and Finished Steel
Portugal,1 442,1 314,1 639,1 728,2 044,2 369,2 324,2 443,2 591,2 416,European Union (28),Export,Semi-finished and Finished Steel
Romania,2 030,2 950,3 157,2 682,2 277,2 339,2 585,2 506,2 789,2 859,European Union (28),Export,Semi-finished and Finished Steel
Slovak Republic,3 548,4 590,4 372,4 760,4 786,4 931,4 835,5 089,5 197,5 064,European Union (28),Export,Semi-finished and Finished Steel
Slovenia,589,688,843,817,807,871,993,1 010,1 103,1 226,European Union (28),Export,Semi-finished and Finished Steel
Spain,8 176,9 815,9 888,9 416,9 134,9 710,9 590,9 317,8 917,8 637,European Union (28),Export,Semi-finished and Finished Steel
Sweden,2 449,3 643,5 048,4 034,3 308,3 271,3 207,3 650,3 855,3 387,European Union (28),Export,Semi-finished and Finished Steel
United Kingdom,6 304,6 044,6 027,6 410,8 374,8 599,7 280,4 588,4 699,4 612,European Union (28),Export,Semi-finished and Finished Steel
,,,,,,,,,,,,,Semi-finished and Finished Steel
Albania,7,142,173,126,108,139,74,5,3,3,Other Europe,Export,Semi-finished and Finished Steel
