Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Unit,Type
Austria (1),3 540,4 002,4 440,4 171,4 066,4 111,4 453,4 366,4 661,4 767,European Union (28),thousand metric tons,crude steel equivalent
Belgium-Luxembourg (1),4 230,4 854,5 299,4 472,4 412,4 551,4 557,4 617,4 797,4 883,European Union (28),thousand metric tons,crude steel equivalent
Bulgaria,785,833,1 127,1 008,1 100,1 526,1 368,1 460,1 102,1 276,European Union (28),thousand metric tons,crude steel equivalent
Croatia,828,782,702,663,684,675,720,922,947,761,European Union (28),thousand metric tons,crude steel equivalent
Cyprus,327,366,248,173,139,115,153,164,265,360,European Union (28),thousand metric tons,crude steel equivalent
Czech Republic (1),5 207,6 379,6 985,6 747,6 765,7 145,7 600,7 600,8 100,8 500,European Union (28),thousand metric tons,crude steel equivalent
Denmark,990,1 129,1 530,1 528,1 518,1 521,1 564,1 655,1 583,1 598,European Union (28),thousand metric tons,crude steel equivalent
Estonia,187,313,375,340,350,365,341,462,506,569,European Union (28),thousand metric tons,crude steel equivalent
Finland (1),1 715,1 540,1 225,2 104,1 888,1 875,1 875,1 872,2 170,2 151,European Union (28),thousand metric tons,crude steel equivalent
France,12 290,15 454,16 304,14 130,14 566,14 472,14 521,15 251,15 771,15 870,European Union (28),thousand metric tons,crude steel equivalent
Germany (1),29 100,40 479,45 141,40 829,41 700,43 110,42 433,42 750,43 326,41 884,European Union (28),thousand metric tons,crude steel equivalent
Greece,2 712,2 055,1 545,1 097,1 230,1 387,1 097,1 626,1 445,1 447,European Union (28),thousand metric tons,crude steel equivalent
Hungary (1),1 764,2 420,2 173,1 959,2 144,2 400,2 702,2 928,3 060,3 199,European Union (28),thousand metric tons,crude steel equivalent
Ireland,382,453,425,436,433,513,605,603,715,759,European Union (28),thousand metric tons,crude steel equivalent
Italy (1),21 280,27 212,28 143,22 810,23 218,23 244,25 957,25 157,26 644,27 837,European Union (28),thousand metric tons,crude steel equivalent
