Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Austria,5360.0,6315.0,7020.0,6358.0,6605.0,7282.0,7440.0,7310.0,7919.0,7451.0,European Union (28),Export,Semi-finished and Finished Steel
Belgium,12809.0,15153.0,16445.0,14456.0,13875.0,14161.0,15202.0,16724.0,18060.0,17971.0,European Union (28),Export,Semi-finished and Finished Steel
Bulgaria,957.0,908.0,1205.0,983.0,946.0,999.0,943.0,1064.0,1354.0,1388.0,European Union (28),Export,Semi-finished and Finished Steel
Croatia,82.0,85.0,109.0,34.0,121.0,210.0,218.0,106.0,64.0,219.0,European Union (28),Export,Semi-finished and Finished Steel
Cyprus,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,European Union (28),Export,Semi-finished and Finished Steel
Czech Republic,3877.0,4651.0,4855.0,4642.0,4751.0,4736.0,4830.0,5192.0,4785.0,5068.0,European Union (28),Export,Semi-finished and Finished Steel
Denmark,680.0,857.0,976.0,798.0,797.0,790.0,935.0,946.0,984.0,1052.0,European Union (28),Export,Semi-finished and Finished Steel
Estonia,120.0,204.0,274.0,194.0,107.0,114.0,104.0,109.0,138.0,151.0,European Union (28),Export,Semi-finished and Finished Steel
Germany,20778.0,25352.0,26379.0,25818.0,24161.0,24757.0,25146.0,25521.0,26365.0,25999.0,European Union (28),Export,Semi-finished and Finished Steel
Finland,1397.0,2490.0,2861.0,1820.0,1617.0,1840.0,1902.0,1948.0,2018.0,2194.0,European Union (28),Export,Semi-finished and Finished Steel
France,11999.0,14141.0,14224.0,14579.0,14164.0,14944.0,14003.0,13689.0,14782.0,14415.0,European Union (28),Export,Semi-finished and Finished Steel
Greece,1035.0,1170.0,1742.0,1215.0,973.0,920.0,997.0,990.0,1292.0,1631.0,European Union (28),Export,Semi-finished and Finished Steel
Hungary,1090.0,1316.0,1470.0,1698.0,1766.0,1607.0,1440.0,1404.0,1892.0,2086.0,European Union (28),Export,Semi-finished and Finished Steel
Ireland,34.0,37.0,44.0,50.0,47.0,65.0,93.0,121.0,91.0,100.0,European Union (28),Export,Semi-finished and Finished Steel
Italy,12750.0,15316.0,17125.0,17926.0,16640.0,17328.0,16475.0,17895.0,18190.0,18180.0,European Union (28),Export,Semi-finished and Finished Steel
Latvia,865.0,894.0,833.0,1151.0,622.0,399.0,576.0,486.0,458.0,487.0,European Union (28),Export,Semi-finished and Finished Steel
Lithuania,178.0,205.0,253.0,284.0,258.0,269.0,330.0,380.0,386.0,400.0,European Union (28),Export,Semi-finished and Finished Steel
Luxembourg,2471.0,3059.0,3442.0,2869.0,2731.0,3003.0,2908.0,2920.0,2920.0,3027.0,European Union (28),Export,Semi-finished and Finished Steel
Malta,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,European Union (28),Export,Semi-finished and Finished Steel
Netherlands,7707.0,9271.0,10441.0,9734.0,8761.0,9715.0,10630.0,10214.0,10916.0,11029.0,European Union (28),Export,Semi-finished and Finished Steel
