Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Unit,Type
Austria,3540,4002,4440,4171,4066,4111,4453,4366,4661,4767,European Union (28),thousand metric tons,crude steel equivalent
Belgium-Luxembourg,4230,4854,5299,4472,4412,4551,4557,4617,4797,4883,European Union (28),thousand metric tons,crude steel equivalent
Bulgaria,785,833,1127,1008,1100,1526,1368,1460,1102,1276,European Union (28),thousand metric tons,crude steel equivalent
Croatia,828,782,702,663,684,675,720,922,947,761,European Union (28),thousand metric tons,crude steel equivalent
Cyprus,327,366,248,173,139,115,153,164,265,360,European Union (28),thousand metric tons,crude steel equivalent
Czech Republic,5207,6379,6985,6747,6765,7145,7600,7600,8100,8500,European Union (28),thousand metric tons,crude steel equivalent
Denmark,990,1129,1530,1528,1518,1521,1564,1655,1583,1598,European Union (28),thousand metric tons,crude steel equivalent
Estonia,187,313,375,340,350,365,341,462,506,569,European Union (28),thousand metric tons,crude steel equivalent
Finland,1715,1540,1225,2104,1888,1875,1875,1872,2170,2151,European Union (28),thousand metric tons,crude steel equivalent
France,12290,15454,16304,14130,14566,14472,14521,15251,15771,15870,European Union (28),thousand metric tons,crude steel equivalent
Germany,29100,40479,45141,40829,41700,43110,42433,42750,43326,41884,European Union (28),thousand metric tons,crude steel equivalent
Greece,2712,2055,1545,1097,1230,1387,1097,1626,1445,1447,European Union (28),thousand metric tons,crude steel equivalent
Hungary,1764,2420,2173,1959,2144,2400,2702,2928,3060,3199,European Union (28),thousand metric tons,crude steel equivalent
Ireland,382,453,425,436,433,513,605,603,715,759,European Union (28),thousand metric tons,crude steel equivalent
Italy,21280,27212,28143,22810,23218,23244,25957,25157,26644,27837,European Union (28),thousand metric tons,crude steel equivalent
Latvia,290,393,622,214,230,344,293,363,261,482,European Union (28),thousand metric tons,crude steel equivalent
Lithuania,282,381,472,493,558,631,604,716,722,794,European Union (28),thousand metric tons,crude steel equivalent
Malta,48,60,36,35,33,42,46,45,37,60,European Union (28),thousand metric tons,crude steel equivalent
Netherlands,3662,4285,4869,4996,4707,4012,4423,5370,5318,6041,European Union (28),thousand metric tons,crude steel equivalent
Poland,8414,10309,11635,10986,11241,12955,13632,14049,15126,16600,European Union (28),thousand metric tons,crude steel equivalent
Portugal,2455,2659,2361,2144,2509,2240,2479,2405,2601,3000,European Union (28),thousand metric tons,crude steel equivalent
Romania,2827,3511,4025,3549,3522,4085,4266,4339,4475,4882,European Union (28),thousand metric tons,crude steel equivalent
Slovak Republic,1566,2033,2082,2078,2279,2419,2515,2547,2755,2940,European Union (28),thousand metric tons,crude steel equivalent
Slovenia,957,1083,1121,981,968,1002,1059,1132,1141,1222,European Union (28),thousand metric tons,crude steel equivalent
Spain,12500,14100,14000,11510,11873,12449,13633,13523,13648,15392,European Union (28),thousand metric tons,crude steel equivalent
Sweden,2801,3970,4244,3819,3915,3695,3878,4452,4743,4670,European Union (28),thousand metric tons,crude steel equivalent
United Kingdom,8832,11297,11706,11125,10990,11789,11883,12023,12016,11934,European Union (28),thousand metric tons,crude steel equivalent
Albania,622,516,566,648,631,603,328,462,265,245,Other Europe,thousand metric tons,crude steel equivalent
Bosnia-Herzegovina,473,521,536,512,541,533,516,723,765,819,Other Europe,thousand metric tons,crude steel equivalent
Iceland,33,36,37,39,111,38,54,65,63,69,Other Europe,thousand metric tons,crude steel equivalent
Macedonia,288,303,149,82,61,197,233,425,222,209,Other Europe,thousand metric tons,crude steel equivalent
Montenegro,91,124,121,118,84,157,192,182,235,152,Other Europe,thousand metric tons,crude steel equivalent
Norway,991,904,1133,1074,1024,1529,1104,1081,1245,1226,Other Europe,thousand metric tons,crude steel equivalent
Serbia,828,477,642,496,427,520,704,865,1056,1380,Other Europe,thousand metric tons,crude steel equivalent
Switzerland,2065,2615,2805,2871,2959,2949,2750,2982,2902,3020,Other Europe,thousand metric tons,crude steel equivalent
Turkey,19198,25131,28665,30286,33305,32750,36570,36250,38219,32536,Other Europe,thousand metric tons,crude steel equivalent
Other Europe,101,114,137,123,141,130,220,129,160,136,Other Europe,thousand metric tons,crude steel equivalent
Azerbaijan,826,934,988,1187,1453,1468,1060,652,617,811,C.I.S.,thousand metric tons,crude steel equivalent
Belarus,1946,2747,2655,2778,2764,2292,1810,1800,2120,2176,C.I.S.,thousand metric tons,crude steel equivalent
Georgia,207,215,220,289,148,251,348,419,374,474,C.I.S.,thousand metric tons,crude steel equivalent
Kazakhstan,2930,2339,2475,3090,3878,3064,2982,2572,2922,2776,C.I.S.,thousand metric tons,crude steel equivalent
Moldova,263,134,225,186,222,203,313,96,229,175,C.I.S.,thousand metric tons,crude steel equivalent
Russia,28477,41444,47981,49488,49671,49423,44746,43424,44396,44728,C.I.S.,thousand metric tons,crude steel equivalent
Ukraine,4474,6305,7307,7057,6331,4763,3786,4879,5253,5321,C.I.S.,thousand metric tons,crude steel equivalent
Uzbekistan,1629,1358,1387,1604,1971,2025,1842,1834,2459,2700,C.I.S.,thousand metric tons,crude steel equivalent
Other C.I.S.,1228,881,1003,1792,1752,1814,1657,1319,957,1114,C.I.S.,thousand metric tons,crude steel equivalent
Canada,10591,15656,15746,17305,16445,17527,14372,15014,16812,16889,North America,thousand metric tons,crude steel equivalent
Costa Rica,523,564,659,760,879,877,969,894,918,820,North America,thousand metric tons,crude steel equivalent
Cuba,109,140,140,150,158,165,160,151,152,155,North America,thousand metric tons,crude steel equivalent
Dominican Republic,278,360,303,381,412,573,473,484,523,581,North America,thousand metric tons,crude steel equivalent
El Salvador,95,243,290,304,303,341,360,357,338,439,North America,thousand metric tons,crude steel equivalent
Guatemala,271,350,358,718,817,1118,1176,1054,1019,970,North America,thousand metric tons,crude steel equivalent
Honduras,113,92,204,239,184,198,393,356,360,321,North America,thousand metric tons,crude steel equivalent
Mexico,17565,20648,23140,23714,22904,26160,27848,28503,29587,28471,North America,thousand metric tons,crude steel equivalent
Nicaragua,81,53,77,113,119,125,120,114,114,118,North America,thousand metric tons,crude steel equivalent
Panama,377,455,232,273,648,626,553,588,489,489,North America,thousand metric tons,crude steel equivalent
Trinidad and Tobago,264,342,303,318,334,351,338,320,322,332,North America,thousand metric tons,crude steel equivalent
United States,69400,92400,101000,108300,106300,121600,108333,102570,109664,111981,North America,thousand metric tons,crude steel equivalent
Other North America,1041,729,268,308,306,338,425,447,538,464,North America,thousand metric tons,crude steel equivalent
Argentina,3652,5268,6087,5582,5775,5712,5991,4796,5610,5502,South America,thousand metric tons,crude steel equivalent
Bolivia,98,127,130,130,566,673,629,679,578,545,South America,thousand metric tons,crude steel equivalent
Brazil,20640,29004,28993,29526,31131,28451,23662,20578,21693,23563,South America,thousand metric tons,crude steel equivalent
Chile,1960,2738,3148,3457,3105,3031,3215,3172,3171,3150,South America,thousand metric tons,crude steel equivalent
Colombia,2481,3134,3603,3926,4393,4980,5078,4610,4484,4579,South America,thousand metric tons,crude steel equivalent
Ecuador,1222,1454,2047,1760,2262,1942,1989,1831,2026,2108,South America,thousand metric tons,crude steel equivalent
Paraguay,143,237,276,244,256,269,260,340,362,516,South America,thousand metric tons,crude steel equivalent
Peru,1854,2832,2833,3130,3235,3392,4084,3820,4280,4730,South America,thousand metric tons,crude steel equivalent
Uruguay,125,168,231,261,243,236,249,210,185,193,South America,thousand metric tons,crude steel equivalent
Venezuela,3270,2786,3216,3707,3550,2526,2271,926,624,512,South America,thousand metric tons,crude steel equivalent
Other South America,50,25,77,84,92,92,117,88,96,117,South America,thousand metric tons,crude steel equivalent
Algeria,4752,3403,4208,5160,6268,6858,6656,6320,6459,6031,Africa,thousand metric tons,crude steel equivalent
Angola,1014,679,843,1113,1091,1108,834,318,223,229,Africa,thousand metric tons,crude steel equivalent
Benin,157,120,146,178,127,147,138,123,114,109,Africa,thousand metric tons,crude steel equivalent
Cameroon,181,171,166,249,248,288,288,259,206,233,Africa,thousand metric tons,crude steel equivalent
Congo,114,81,122,153,255,295,160,101,72,40,Africa,thousand metric tons,crude steel equivalent
Dem. Rep. of the Congo,85,85,109,116,135,170,145,106,110,194,Africa,thousand metric tons,crude steel equivalent
Djibouti,145,146,157,214,128,170,626,723,551,515,Africa,thousand metric tons,crude steel equivalent
Egypt,9829,9306,8370,10182,9900,10930,11622,12501,10890,11836,Africa,thousand metric tons,crude steel equivalent
Equatorial Guinea,84,119,112,138,137,115,83,42,23,24,Africa,thousand metric tons,crude steel equivalent
Ethiopia,543,332,490,745,860,895,1112,1091,757,717,Africa,thousand metric tons,crude steel equivalent
Gabon,78,106,132,145,150,162,100,70,53,57,Africa,thousand metric tons,crude steel equivalent
Ghana,464,533,852,785,767,841,969,914,772,824,Africa,thousand metric tons,crude steel equivalent
Guinea,65,71,106,86,123,119,153,119,147,176,Africa,thousand metric tons,crude steel equivalent
Ivory Coast,181,223,205,220,285,322,369,424,441,427,Africa,thousand metric tons,crude steel equivalent
Kenya,892,867,1306,1028,1409,1436,1835,1608,1465,1519,Africa,thousand metric tons,crude steel equivalent
