Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Units,Product Type
Austria,4353.0,5621.0,5815.0,5751.0,6152.0,6029.0,5805.0,5642.0,6335.0,5269.0,European Union (28),thousand metric tons,Pig Iron
Belgium,3087.0,4688.0,4725.0,4073.0,4343.0,4388.0,4248.0,4869.0,4849.0,4790.0,European Union (28),thousand metric tons,Pig Iron
Czech Republic,3483.0,3987.0,4137.0,3935.0,4040.0,4152.0,4031.0,4165.0,3691.0,4005.0,European Union (28),thousand metric tons,Pig Iron
Germany,19715.0,28112.0,27563.0,26493.0,26678.0,27379.0,27842.0,27270.0,27816.0,27271.0,European Union (28),thousand metric tons,Pig Iron
Finland,2042.0,2564.0,2500.0,2130.0,2050.0,2475.0,2594.0,2670.0,2604.0,2700.0,European Union (28),thousand metric tons,Pig Iron
France,8104.0,10137.0,9698.0,9532.0,10276.0,10866.0,10097.0,9724.0,10678.0,10530.0,European Union (28),thousand metric tons,Pig Iron
Hungary,1050.0,1325.0,1317.0,1229.0,628.0,801.0,1247.0,864.0,1311.0,1355.0,European Union (28),thousand metric tons,Pig Iron
Italy,5692.0,8555.0,9838.0,9424.0,6933.0,6371.0,5051.0,6044.0,5052.0,4836.0,European Union (28),thousand metric tons,Pig Iron
Netherlands,4601.0,5799.0,5943.0,5917.0,5681.0,5868.0,6050.0,6092.0,6145.0,6150.0,European Union (28),thousand metric tons,Pig Iron
Poland,2984.0,3638.0,3975.0,3952.0,4011.0,4637.0,4821.0,4674.0,5151.0,4853.0,European Union (28),thousand metric tons,Pig Iron
Romania,1575.0,1726.0,1593.0,1467.0,1604.0,1631.0,1983.0,1972.0,1927.0,1979.0,European Union (28),thousand metric tons,Pig Iron
Slovak Republic,3019.0,3649.0,3346.0,3520.0,3617.0,3838.0,3738.0,3987.0,4106.0,4220.0,European Union (28),thousand metric tons,Pig Iron
Spain,2920.0,3572.0,3540.0,3081.0,3949.0,3958.0,4450.0,4116.0,4462.0,4521.0,European Union (28),thousand metric tons,Pig Iron
Sweden,1966.0,3447.0,3240.0,2805.0,2896.0,3078.0,2865.0,3079.0,3111.0,2877.0,European Union (28),thousand metric tons,Pig Iron
United Kingdom,7671.0,7233.0,6625.0,7183.0,9471.0,9705.0,8774.0,6142.0,5996.0,5588.0,European Union (28),thousand metric tons,Pig Iron
Bosnia-Herzegovina,483.0,621.0,685.0,750.0,759.0,860.0,845.0,778.0,738.0,664.0,Other Europe,thousand metric tons,Pig Iron
Norway,83.0,108.0,101.0,100.0,106.0,102.0,59.0,43.0,74.0,79.0,Other Europe,thousand metric tons,Pig Iron
Serbia,1008.0,1235.0,1226.0,312.0,365.0,550.0,904.0,1154.0,1340.0,1593.0,Other Europe,thousand metric tons,Pig Iron
Turkey,7004.0,7679.0,8173.0,8613.0,9180.0,9364.0,10184.0,10304.0,10589.0,10536.0,Other Europe,thousand metric tons,Pig Iron
Kazakhstan,2409.0,2640.0,3190.0,2831.0,2756.0,3185.0,3235.0,6901.0,3769.0,2834.0,C.I.S.,thousand metric tons,Pig Iron
